Gene,Cell_type
Nr5a1,Somatic cells
Wt1,Somatic cells
Gata4,Somatic cells
Amhr2,Somatic cells
Foxl2,Pre-granulosa cells
Bmp2,Pre-granulosa cells
Wnt4,Pre-granulosa cells
Lef1,Pre-granulosa cells
Sry,Sertoli cells
Fgf9,Sertoli cells
Dmrt1,Sertoli cells
Dhh,Sertoli cells
Ptn,Interstitium/Stroma cells
Nr2f2,Interstitium/Stroma cells
Wnt5a,Interstitium/Stroma cells
Tcf21,Interstitium/Stroma cells
Hsd3b1,Fetal Leydig cells
Star,Fetal Leydig cells
Cyp17a1,Fetal Leydig cells
Insl3,Fetal Leydig cells
Mael,Germ cells
Dazl,Germ cells
Ddx4,Germ cells
Stra8,Germ cells